Sl.No.	English Word forms	Hindi Dictionary Translation	Definition/Facts/Descrption	Stong’s Number	References	Aligned Words
289	Berea	बिरीया	In New Testament times, Berea (or Beroea) was a prosperous Greek city in southeast Macedonia, about 80 kilometers south of Thessalonica.  * Paul and Silas fled to the city of Berea after their fellow Christians helped them escape from certain Jews who had caused trouble for them in Thessalonica. * When the people living in Berea heard Paul preach, they researched the Scriptures to confirm that what he was telling them was true.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G960	44017011 ,44017013 ,44017014 ,44017015 ,44020004	
290	Bethany	बैतनिय्याह	The town of Bethany was located at the base of the eastern slope of the Mount of Olives, about 2 miles east of Jerusalem.   * Bethany was near the road that ran between Jerusalem and Jericho. * Jesus often visited Bethany where his close friends Lazarus, Martha, and Mary lived. * Bethany is especially known as the place where Jesus raised Lazarus from the dead.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )	G963	43001026 ,43001027 ,43001028 ,42024050 ,42024051 ,41011001 ,40021015 ,40021016 ,40021017	
291	Bethel	बेतेल	'Bethel was a city located just north of Jerusalem in the land of Canaan. It was formerly called "Luz."  * After receiving God''s promises for the first time, Abram (Abraham) built an altar to God near Bethel. The actual name of the city was not yet Bethel at that time, but it was usually referred to as "Bethel," which was better known. * When fleeing from his brother Esau, Jacob stayed overnight near this city and slept outdoors on the ground there. While he was sleeping, he had a dream showing angels going up and down a ladder to heaven. * This city did not have the name "Bethel" until after Jacob named it that. To make this clear, some translations may translate it as "Luz (later called Bethel)" in the passages about Abraham, as well as when Jacob first arrives there (before he changed the name). * Bethel is mentioned often in the Old Testament and was a place where many important events happened.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'			
292	Bethlehem	बैतलहम, एप्रात	Bethlehem was a small city in the land of Israel, near the city of Jerusalem. It was also known as "Ephrathah," which was probably its original name.  * Bethlehem has been called the "city of David," since King David was born there. * The prophet Micah said that the Messiah would come from "Bethlehem Ephrathah." * Fulfilling that prophecy, Jesus was born in Bethlehem, many years later. * The name "Bethlehem" means "house of bread" or "house of food."   	G965	43007042 ,40002006 ,40002016	
293	Beth Shemesh	बेतशेमेश	'Beth Shemesh was the name of a Canaanite city approximately 30 kilometers west of Jerusalem.  * The Israelites captured Beth Shemesh during the time of Joshua''s leadership. * Beth Shemesh was a city that was set aside as a place for the Levite priests to live. * When the Philistines were taking the captured ark of the covenant back to Jerusalem, Beth Shemesh was the first city where they stopped with it.  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))   '			
294	Bethuel	बतूएल	'Bethuel was the son of Abraham''s brother Nahor.  * Bethuel was the father of Rebekah and Laban. * There was also a town called Bethuel, which may have been located in southern Judah, not far from the town of Beersheba.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '			
295	Boaz	बोआज़	'Boaz was an Israelite man who was the husband of Ruth, the great grandfather of King David, and an ancestor of Jesus Christ.  * Boaz lived during the time when there were judges in Israel. * He was a relative of an Israelite woman named Naomi who had returned to Israel after her husband and sons died in Moab. * Boaz "redeemed" Naomi''s widowed daughter-in-law Ruth by marrying her and giving her a future with a husband and children. * He is seen as a picture of how Jesus rescued and redeemed us from sin.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'		42003030 ,42003031 ,42003032 ,40001005	
296	Caesar	कैसर	The term "Caesar" was the name or title used by many of the rulers of the Roman Empire. In the Bible, this name refers to three different Roman rulers.  * The first Roman ruler named Caesar was "Caesar Augustus," who was ruling during the time that Jesus was born. * About thirty years later, at the time when John the Baptist was preaching, Tiberius Caesar was the ruler of the Roman Empire.  * Tiberius Caesar was still ruling Rome when Jesus told the people to pay Caesar what was due him and to give to God what is due him. * When Paul appealed to Caesar, this referred to the Roman emperor, Nero, who also had the title "Caesar." * When "Caesar" is used by itself as a title, it can also be translated as: "the Emperor" or "the Roman Ruler." * In names such as Caesar Augustus or Tiberius Caesar, "Caesar" can be spelled close to the way a national language spells it.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2541	44025006 ,42002001 ,42020023 ,42020024 ,42023002 ,41012013 ,41012014 ,41012015 ,40022017 ,50004022	
297	Caesarea, Caesarea Philippi	कैसरिया, कैसरिया फिलिप्पी	Caesarea was an important city on the coast of the Mediterranean Sea, about 39 km south of Mount Carmel. Caesarea Philippi was a city located in the northeastern part of Israel, near Mount Hermon.  * These cities were named for the Caesars who ruled the Roman empire. * The coastal Caesarea became the capital city of the Roman province of Judea around the time of the birth of Jesus. * The apostle Peter first preached to the Gentiles in Caesarea. * Paul sailed from Caesarea to Tarsus and also passed through this city on two of his missionary journeys. * Jesus and his disciples traveled in the region surrounding Caesarea Philippi in Syria. Both cities were named after Herod Philip.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2542, G5376	44009030 ,44010001 ,44010002 ,44025001 ,44025014 ,41008027 ,40016013 ,40016014 ,40016015 ,40016016	
298	Caiaphas	कैफा	Caiaphas was the high priest of Israel during the time of John the Baptist and Jesus.  * Caiaphas played a major role in the trial and condemnation of Jesus. * The high priests Annas and Caiaphas were at the trial of Peter and John when they were arrested after healing a crippled man. * Caiaphas is the one who said that it was better for one man to die for the whole nation than for the whole nation to perish. God caused him to say this as a prophecy about how Jesus would die to save his people.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2533	44004005 ,44004006 ,44004007 ,43018012 ,42003002 ,40026003 ,40026004 ,40026005 ,40026057 ,40026058	
299	Cain	कैन	'Cain and his younger brother Abel were the first sons of Adam and Eve mentioned in the Bible.  * Cain was a farmer who produced food crops while Abel was a sheep herder. * Cain killed his brother Abel in a fit of jealousy because God had accepted Abel''s sacrifice but had not accepted Cain''s sacrifice. * As punishment, God sent him away from Eden and told him that the land would no longer yield crops for him. * God put a mark on Cain''s forehead as a sign that God would protect him from being killed by other people as he wandered.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G2535	62003012 ,65001011	
300	Caleb	कालेब	Caleb was one of the twelve Israelite spies whom Moses sent to explore the land of Canaan.  * He and Joshua told the people to trust God to help them defeat the Canaanites. * Joshua and Caleb were the only men of their generation who were allowed to enter the Promised Land of Canaan. * Caleb requested that the land of Hebron be given to him and his family. He knew that God would help him defeat the people who lived there.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   			
301	Cana	काना	Cana was a village or town in the province of Galilee, located about nine miles north of Nazareth.  * Cana was the hometown of Nathanael, one of the Twelve. * Jesus attended a wedding feast in Cana and performed his first miracle there when he turned water into wine. * Some time after that, Jesus came back to Cana and met an official there from Capernaum who requested healing for his son.   	G2580	43002001 ,43002002 ,43004046 ,43004047	
302	Canaan, Canaanite, Canaanites	कनान, कनानी, कनानियों	'Canaan was the son of Ham, who was one of Noah''s sons. The Canaanites were the descendants of Canaan.  * The term "Canaan" or the "land of Canaan" also referred to an area of land between the Jordan River and the Mediterranean Sea. It extended south to the border of Egypt and north to the border of Syria. * This land was inhabited by the Canaanites, as well as several other people groups. * God promised to give the land of Canaan to Abraham and his descendants, the Israelites.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G2581,G5478	44013019 ,44013020	
303	Capernaum	कफरनहूम	Capernaum was a fishing village on the northwest shore of the Sea of Galilee.  * Jesus lived in Capernaum whenever he was teaching in Galilee. * Several of his disciples were from Capernaum. * Jesus also did many miracles in this city, including bringing a dead girl back to life. * Capernaum was one of three cities that Jesus publicly rebuked because their people rejected him and did not believe his message. He warned them that God would punish them for their unbelief.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2584	43002012 ,42004031 ,41001021 ,41002002 ,40004012 ,40004013 ,40017024 ,40017025	
304	Carmel, Mount Carmel	कर्मेल, कर्मेल पहाड़	'"Mount Carmel" refers to a mountain range that was located along the coast of the Mediterranean Sea just north of the Plain of Sharon. Its highest peak is 546 meters high.  * There was also a town called "Carmel" located in Judah, south of the Salt Sea. * The wealthy landowner Nabal and his wife Abigail lived near the town of Carmel where David and his men helped guard Nabal''s sheep shearers. * On Mount Carmel, Elijah challenged the prophets of Baal to a contest in order to prove that Yahweh is the only true God. * To make it clear that this wasn''t just a single mountain, "Mount Carmel" could be translated as, "mountain on the Carmel mountain range" or "Carmel mountain range."  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'			
305	Chaldea, Chaldean, Chaldeans	कसदी, कसदी, कसदियों	Chaldea was a region in the southern part of Mesopotamia or Babylonia. The people who lived in this region were called Chaldeans.  * The city of Ur, where Abraham was from, was located in Chaldea. It is often referred to as "Ur of the Chaldeans." * King Nebuchadnezzar was one of several Chaldeans who became kings over Babylonia. * After many years, around 600 BC, the term "Chaldean" came to mean "Babylonian." * In the book of Daniel, the term "Chaldean" also refers to a special class of men who were highly educated and studied the stars.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G5466	44007004 ,44007005	
306	Kerethites	करेतियों	'The Kerethites were a people group who were probably part of the Philistines. Some versions write this name as "Cherethites."  * The "Kerethites and Pelethites" were a special group of soldiers from King David''s army who were especially devoted to him as his bodyguards. * Benaiah, son of Jehoiada, a member of David''s administrative corps, was the leader of the Kerethites and Pelethites. * The Kerethites remained with David when he had to flee Jerusalem because of Absalom''s revolt.  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))   '		36002005	
307	Cilicia	किलिकिया	Cilicia was a small Roman province located in the southeastern part of what is now the modern-day country of Turkey. It borders the Aegean Sea.  * The apostle Paul was a citizen from the city of Tarsus located in Cilicia. * Paul spent several years in Cilicia after his encounter with Jesus on the road to Damascus. * Some of the Jews from Cilicia were among those who confronted Stephen and influenced the people to stone him to death.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2791	44006008 ,44006009 ,44015041 ,44027003 ,44027004 ,44027005 ,44027006 ,48001021 ,48001022 ,48001023 ,48001024	
308	city of David	दाऊद के नगर	The term "city of David" is another name for both Jerusalem and Bethlehem.  * Jerusalem is where David lived while he ruled Israel. * Bethlehem is where David was born.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G1138,G4172	42002004	
309	Colossae, Colossians	कुलुस्से, कुलुस्सियों	In New Testament times, Colossae was a city located in the Roman province of Phrygia, an area of land that is now southwestern Turkey. The Colossians were the people who lived in Colossae.  * Located about 100 miles inland from the Mediterranean Sea, Colossae was on an important trade route between the city of Ephesus and the Euphrates River. * While in prison in Rome, Paul wrote a letter to the "Colossians" to correct false teachings among the believers at Colossae. * When he wrote this letter, Paul had not visited the church at Colossae, but had heard about the believers there from his coworker, Epaphras. * Epaphras was probably the Christian worker who started the church at Colossae. * The book of Philemon was a letter by Paul addressed to a slave owner in Colossae.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2857, G2858	51001003	
310	Corinth, Corinthians	कुरिन्थुस, कुरिन्थवासी	Corinth was a city in the country of Greece, about 50 miles west of Athens. The Corinthians were the people who lived at Corinth.  * Corinth was the location of one of the early Christian churches. * The New Testament books, 1 Corinthians and 2 Corinthians were letters written by Paul to the Christians living in Corinth. * On his first missionary journey, Paul stayed in Corinth for approximately 18 months. * Paul met the believers Aquila and Priscilla while in Corinth. * Other early church leaders associated with Corinth include Timothy, Titus, Apollos, and Silas.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2881, G2882	46001003 ,47001023 ,47001024 ,55004019 ,55004020 ,55004021 ,55004022 ,44018001	
311	Cornelius	कुरनेलियुस	'Cornelius was a Gentile, or non-Jewish man, who was a military officer in the Roman army.  * He prayed regularly to God and was very generous in giving to the poor. * When Cornelius and his family heard the apostle Peter explain the gospel, they became believers in Jesus. * The people of Cornelius'' household were the first non-Jewish people to become believers. * This showed Jesus'' followers that he had come to save all people, including Gentiles.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G2883	44010001 ,44010008 ,44010018 ,44010022 ,44010024 ,44010026 ,44010030	
312	Crete, Cretan, Cretans	क्रेते, क्रेतेवासी, क्रेतेवासियों	Crete is an island that is located off the southern coast of Greece. A "Cretan" is someone who lives on this island.  * The apostle Paul traveled to the island of Crete during his missionary journeys. * Paul left his co-worker Titus on Crete to teach the Christians and to help appoint leaders for the church there.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))	G2912, G2914	44002011 ,44027008 ,56001012	
313	Cush	कूश	'Cush was the oldest son of Noah''s son Ham. He was also the ancestor of Nimrod. Two of his brothers were named Egypt and Canaan.  * In Old Testament times, "Cush" was the name of a large region of land south of Israel. It is probable that the land was named after Ham''s son Cush. * The ancient region of Cush covered an area of land that may have, at different times, included parts of the modern-day countries of Sudan, Egypt, Ethiopia, and possibly, Saudi Arabia. * Another man named Cush is mentioned in the Psalms. He was a Benjamite.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '			
314	Cyprus	साइप्रस	Cyprus is an island in the Mediterranean Sea, about 64 kilometers south of the modern-day country of Turkey.  * Barnabas was from Cyprus so it is probable that his cousin John Mark was also from there. * Paul and Barnabas preached together on the island of Cyprus at the beginning of their first missionary journey. John Mark came along to help them on that trip. * Later on, Barnabas and Mark visited Cyprus again. * In the Old Testament, Cyprus is mentioned as being a rich source of cypress trees.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )	G2953, G2954	44004036 ,44004037 ,44013005 ,44015041 ,44027004	
315	Cyrene	कुरेनी	Cyrene was a Greek city on the north coast of Africa on the Mediterranean Sea, directly south of the island of Crete.  * In New Testament times, both Jews and Christians lived in Cyrene. * Cyrene is probably most well-known in the Bible as the home city of a man named Simon who carried the cross of Jesus.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2956, G2957	44011019 ,44011020 ,44011021 ,40027032 ,40027033 ,40027034	
316	Cyrus	कुस्रू	Cyrus was a Persian king who founded the Persian empire in about 550 BC, through military conquest. In history he was also known as Cyrus the Great.  * King Cyrus conquered the city of Babylon, which led to the release of the Israelites who had been kept in exile there. * Cyrus was known for his tolerant attitude toward the people of the nations he conquered. His kindness toward the Jews led to the rebuilding of the Jerusalem temple after the exile. * Cyrus was reigning during the time when Daniel, Ezra, and Nehemiah were living.  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))   			
317	Damascus	दमिश्क	Damascus is the capital city of the country of Syria. It is still in the same location as it was in Bible times.  * Damascus is one of the oldest, continuously inhabited cities in the world. * During the time of Abraham, Damascus was the capital of the Aram kingdom (located in what is now Syria). * Throughout the Old Testament, there are many references to the interactions between the inhabitants of Damascus and the people of Israel. * Several biblical prophecies predict the destruction of Damascus. These prophecies may have been fulfilled when Assyria destroyed the city during Old Testament times, or there may be also be a future, more complete destruction of this city. * In the New Testament, the Pharisee Saul (later known as Paul) was on his way to arrest Christians in the city of Damascus when Jesus confronted him and caused him to become a believer.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )	G1154	44009001 ,44009002 ,44009003 ,44026012 ,48001015 ,48001016 ,48001017	
318	Dan	दान	Dan was the fifth son of Jacob and was one of the twelve tribes of Israel.The region settled by the tribe of Dan in the northern part of Canaan also was given this name.  * During the time of Abram, there was a city named Dan located west of Jerusalem. * Years later, during the time the nation of Israel entered the promised land, a different city named Dan was located about 60 miles north of Jerusalem. * The term "Danites" refers to the descendants of Dan, who were also members of his clan.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )			
319	Daniel	दानिय्येल	Daniel was an Israelite prophet who as a young man was taken captive by the Babylonian king Nebuchadnezzar around 600 BC.  * This was during the time that many other Israelites from Judah were held captive in Babylon for 70 years. * Daniel was given the Babylonian name Belteshazzar. * Daniel was an honorable and righteous young man who obeyed God. * God enabled Daniel to interpret several dreams or visions for the Babylonian kings. * Because of this ability and because of his honorable character, Daniel was given a high leadership position in the Babylonian empire. * Many years later, Daniels enemies tricked the Babylonian king Darius into making a law forbidding the worship of anyone except the king. Daniel continued to pray to God, so he was arrested and thrown into a den of lions. But God rescued him and he was not harmed at all.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G1158	40024015	
320	Darius	दारा	'Darius was the name of several kings of Persia. It is possible that "Darius" was a title rather than a name.  * "Darius the Mede" was the king who was tricked into having the prophet Daniel thrown into a lion''s den as punishment for worshiping God. * "Darius the Persian" helped facilitate the reconstruction of the temple in Jerusalem during the time of Ezra and Nehemiah.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '			
321	David	दाऊद	'David was the second king of Israel and he loved and served God. He was the main writer of the book of Psalms.  * When David was still a young boy caring for his family''s sheep, God chose him to become the next king of Israel.  * David became a great fighter and led the Israelite army in battles against their enemies. His defeat of Goliath the Philistine is well known. * King Saul tried to kill David, but God protected him, and made him king after Saul''s death. * David committed a terrible sin, but he repented and God forgave him. * Jesus, the Messiah, is called the "Son of David" because he is a descendant of King David.   (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'	G1138	55002008 ,44002025 ,44013022 ,42001032 ,41002026	
322	Delilah	दलीला	Delilah was a Philistine woman who was loved by Samson, but was not his wife.  * Delilah loved money more than she loved Samson. * The Philistines bribed Delilah to trick Samson into telling her how he could be made weak. When his strength was gone, the Philistines captured him.  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))   			
323	Eden, garden of Eden	अदन, अदन की वाटिका	In ancient times, Eden was a region that had a garden where God placed the first man and woman to live.  * The garden where Adam and Eve lived was only part of Eden. * The exact location of the region of Eden is not certain, but the Tigris and Euphrates Rivers were flowing through it. * The word "Eden" comes from a Hebrew word meaning to "take great delight in."  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   			
324	Edom, Edomite, Edomites, Idumea	एदोम, एदोमी, एदोमियों, इदूमिया	Edom was another name for Esau. The region where he lived also became known as "Edom" and later, "Idumea." The "Edomites" were his descendants.  * The region of Edom changed locations over time. It was mostly located to the south of Israel and eventually extended into southern Judah. * During New Testament times, Edom covered the southern half of the province of Judea. The Greeks called it "Idumea." * The name "Edom" means "red," which may refer to the fact that Esau was covered with red hair when he was born. Or it may refer to the red lentil stew that Esau traded his birthright for. * In the Old Testament, the country of Edom is often mentioned as an enemy of Israel. * The entire book of Obadiah is about the destruction of Edom. Other Old Testament prophets also spoke negative prophecies against Edom.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2401		
325	Egypt, Egyptian, Egyptians	मिस्र, मिस्री, मिस्रियों	'Egypt is a country in the northeast part of Africa, to the southwest of the land of Canaan. An Egyptian is a person who is from the country of Egypt.  * In ancient times, Egypt was a powerful and wealthy country. * Ancient Egypt was divided into two parts, Lower Egypt (northern part where the Nile River flowed downward into the sea) and Upper Egypt (southern part). In the Old Testament, these parts are referred to as "Egypt" and "Pathros" in the original language text. * Several times when there was little food in Canaan, Israel''s patriarchs traveled to Egypt to buy food for their families. * For several hundred years, the Israelites were slaves in Egypt. * Joseph and Mary went down to Egypt with the young child Jesus, to escape from Herod the Great.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G124,G125	44007010 ,40002015	
326	Ekron, Ekronites	एक्रोन, एक्रोनी	Ekron was a major city of the Philistines, located nine miles inland from the Mediterranean Sea.  * A temple of the false god Baal-zebub was located at Ekron. * When the Philistines captured the ark of the covenant, they took it to Ashdod and then moved it to Gath and Ekron because God kept causing people to get sick and die in whatever city the ark was taken to. Finally the Philistines sent the ark back to Israel. * When King Ahaziah fell through the roof of his house and injured himself, he sinned by trying to find out from the false god Baal-zebub of Ekron as to whether or not he would die from his injuries. Because of this sin, Yahweh said that he would die.  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))    			
327	Elam, Elamites	एलाम, एलाम लोग	Elam was a son of Shem and a grandson of Noah.  * The descendants of Elam were called "Elamites," and they lived in a region that was also called "Elam." * The region of Elam was located southeast of the Tigris River in what is now western Iran.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G1639	44002009	
328	Eleazar	एलीआजार	'Eleazar was the name of several men in the Bible.   * Eleazar was the third son of Moses'' brother Aaron. After Aaron died, Eleazar became the high priest in Israel. * Eleazar was also the name of one of David''s "mighty men." * Another Eleazar was one of Jesus'' ancestors.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G1648		
329	Eliakim	एलयाकीम	'Eliakim was the name of two men in the Old Testament.  * One man named Eliakim was the manager of the palace under King Hezekiah. * Another man named Eliakim was a son of King Josiah. He was made king of Judah by the Egyptian pharaoh Necho. * Necho changed Eliakim''s name to Jehoiakim.  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))   '	G1662		
330	Elijah	एलिय्याह	'Elijah was one of the most important prophets of Yahweh. Elijah prophesied during the reigns of several kings of Israel and Judah, including King Ahab.  * God did many miracles through Elijah, including raising a dead boy back to life. * Elijah rebuked King Ahab for worshiping the false god Baal. * He challenged the prophets of Baal to a test that proved that Yahweh is the only true God. * At the end of Elijah''s life, God miraculously took him up to heaven while he was still alive. * Hundreds of years later, Elijah, along with Moses, appeared with Jesus on a mountain, and they talked together about Jesus'' coming suffering and death in Jerusalem.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'	G2243	59005016 ,59005017 ,59005018 ,43001019 ,43001020 ,43001021 ,43001024 ,43001025 ,41009005	
331	Elisha	एलीशा	'Elisha was a prophet in Israel during the reigns of several kings of Israel: Ahab, Ahaziah, Jehoram, Jehu, Jehoahaz, and Jehoash.  * God told the prophet Elijah to anoint Elisha as prophet. * When Elijah was taken to heaven in a fiery chariot, Elisha became God''s prophet to the kings of Israel.  * Elisha did many miracles, including healing a man from Syria who had leprosy and raising from the dead the son of a woman from Shunem.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'		42004025	
332	Elizabeth	एलीशिबा	'Elizabeth was the mother of John the Baptist. Her husband''s name was Zechariah.  * Zechariah and Elizabeth had never been able to have children, but in their old age, God promised Zechariah that Elizabeth would bear him a son. * God kept his promise, and soon Zechariah and Elizabeth were able to conceive, and she gave birth to a son. They named the baby John. * Elizabeth was also a relative of Mary, Jesus'' mother.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'	G1665	42001005 ,42001024 ,42001025 ,42001041	
333	En Gedi	एनगदी	En Gedi was the name of a city in the wilderness of Judah southeast of Jerusalem.    * En Gedi was located on the western bank of the Salt Sea. * Part of its name means "fountain," referring to a spring of water that flows down from the city into the sea. * En Gedi was known for having beautiful vineyards and other fertile land, probably due to the continual watering by the fountain of water. * There were strongholds in En Gedi which David fled to when he was being chased by King Saul.   		14020002	
334	Enoch	हनोक	Enoch was the name of two men in the Old Testament.  * One man named Enoch was descended from Seth. He was the great grandfather of Noah. * This Enoch had a close relationship with God and when he was 365 years old, God took him to heaven while he was still alive. * A different man named Enoch was a son of Cain.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G1802	65001014 ,42003036 ,42003037 ,42003038	
335	Ephesus, Ephesian, Ephesians	इफिसुस, इफिसुस वासी, इफिसियों	Ephesus was an ancient Greek city on the west coast of what is now the present-day country of Turkey.  * During the time of the early Christians, Ephesus was the capital of Asia, which was a small Roman province at that time. * Because of its location, this city was an important center of trade and travel. * A well-known pagan temple for the worship of the goddess Artemis (Diana) was located in Ephesus. * Paul lived and worked in Ephesus for more than two years and later appointed Timothy to lead the new believers there. * The book of Ephesians in the New Testament is a letter that Paul wrote to the believers in Ephesus.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2179, G2180, G2181	46015032 ,54001003 ,55004011 ,55004012 ,55004013 ,44019001 ,49001001	
336	Ephraim, Ephraimite, Ephraimites	एप्रैम, एप्रैमी, एप्रैमियों	Ephraim was the second son of Joseph. His descendants, the Ephraimites, formed one of the twelve tribes of Israel.  * The tribe of Ephraim was one of the ten tribes that were located in the northern part of Israel. * Sometimes the name Ephraim is used in the Bible to refer to the whole northern kingdom of Israel. (See: [synecdoche](rc://en/ta/man/translate/figs-synecdoche)) * Ephraim was apparently a very mountainous or hilly area, based on references to "the hill country of Ephraim" or "the mountains of Ephraim."  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )	G2187	43011054	
337	Ephrath, Ephrathah, Ephrathite, Ephrathites	एप्रात, एप्रात, एप्राती, एप्राती	'Ephrathah was the name of a city and region in the northern part of Israel. The city of Ephrathah was later called "Bethlehem" or "Ephrathah-Bethlehem."  * Ephrathah was the name of one of Caleb''s sons. The city of Ephrathah was probably named after him. * A person who was from the city of Ephrathah was called an "Ephrathite." * Boaz, the great-grandfather of David, was an Ephrathite.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'			
338	Esau	एसाव	Esau was one of the twin sons of Isaac and Rebekah. He was the first baby born to them. His twin brother was Jacob.  * Esau sold his birthright to his brother Jacob in exchange for a bowl of food. * Since Esau was born first, his father Isaac was supposed to give him a special blessing. But Jacob tricked Isaac into giving him that blessing instead. At first Esau was so angry that he wanted to kill Jacob, but later he forgave him. * Esau had many children and grandchildren, and these descendants formed a large people group living in the land of Canaan.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   	G2269	58012017 ,45009013	
339	Esther	एस्तेर	'Esther was a Jewish woman who became queen of the Persian kingdom during the time of the Babylonian captivity of the Jews.  * The book of Esther tells the story of how Esther became the wife of the Persian King Ahasuerus and how God used her to save her people. * Esther was an orphan who was raised by her godly older cousin, Mordecai. * Her obedience to her adoptive father helped her to be obedient to God. * Esther obeyed God and risked her life in order to save her people, the Jews. * The story of Esther illustrates God''s sovereign control over the events of history, especially how he protects his people and works through those who obey him.  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))   '			
340	Ethiopia, Ethiopian	कूश, कूशी	Ethiopia is a country in Africa located just south of Egypt, bordered by the Nile River to the west and by the Red Sea to the east. A person from Ethiopia is an "Ethiopian."  * Ancient Ethiopia was located south of Egypt and included land that is now part of several modern-day African countries, such as Sudan, modern Ethiopia, Somalia, Kenya, Uganda, Central African Republic, and Chad.  * In the Bible, Ethiopia is sometimes called "Cush" or "Nubia." * The countries of Ethiopia ("Cush") and Egypt are often mentioned together in the Bible, perhaps because they were located next to each other and their people may have had some of the same ancestors. * God sent Philip the evangelist to a desert where he shared the good news about Jesus with an Ethiopian eunuch.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )	G128	44008027 ,44008030 ,44008032 ,44008033 ,44008036 ,44008037 ,44008038	
341	Euphrates River, the River	फरात महानद, महानद	The Euphrates is the name of one of the four rivers that flowed through the Garden of Eden. It is the river that is most often mentioned in the Bible.  * The modern day river named Euphrates is located in the Middle East and is the longest and most important river in Asia. * Together with the Tigris River, the Euphrates borders a region of land known as Mesopotamia. * The ancient city of Ur where Abraham came from was at the mouth of the Euphrates River. * This river was one of the boundaries of the land that God promised to give to Abraham (Genesis 15:18). * Sometimes the Euphrates is simply called "the River."  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))	G2166		
342	Eve	हव्वा	'This was the name of the first woman. Her name means "life" or "living."  * God formed Eve from a rib that he took out of Adam. * Eve was created to be Adam''s "helper." She came alongside Adam to assist him in the work that God gave them to do. * Eve was tempted by Satan (in the form of a snake) and was the first to sin by eating the fruit that God said not to eat.  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   '	G2096	54002013 ,47011003	
