Sl.No.	key_word_eng	key_word_hin	word_forms_en	word_forms_hi	strongs_en	strongs_hi	references_en	
198	tetrarch	tetrarch	tetrarch	चौथाई देश के राजा	['G5075', 'G5076']	['G5075', 'G5076']	* [Luke 03:1-2](rc://en/tn/help/luk/03/01)* [Luke 09:07](rc://en/tn/help/luk/09/07)* [Matthew 14:1-2](rc://en/tn/help/mat/14/01)	42003001. 42003002. 42009007. 40014001. 40014002. 
199	thetwelve	thetwelve	the twelve, the eleven	बारहों, ग्यारहों	['G1427', 'G1733']	['G1427', 'G1733']	* [1 Corinthians 15:5-7](rc://en/tn/help/1co/15/05)* [Acts 06:02](rc://en/tn/help/act/06/02)* [Luke 09:01](rc://en/tn/help/luk/09/01)* [Luke 18:31](rc://en/tn/help/luk/18/31)* [Mark 10:32-34](rc://en/tn/help/mrk/10/32)* [Matthew 10:07](rc://en/tn/help/mat/10/07)	46015005. 46015006. 46015007. 44006002. 42009001. 42018031. 41010032. 41010033. 41010034. 40010007. 
200	transgression	transgression	transgress, transgresses, transgression	टालना, उल्लंघन, अपराध	['H898', 'H6586', 'H6588', 'G3847', 'G3892']	['H898', 'H4603', 'H4604', 'H6586', 'H6588', 'G458', 'G459', 'G3845', 'G3847', 'G3848', 'G3928']	* [1 Thessalonians 04:06](rc://en/tn/help/1th/04/06)* [Daniel 09:24-25](rc://en/tn/help/dan/09/24)* [Galatians 03:19-20](rc://en/tn/help/gal/03/19)* [Galatians 06:1-2](rc://en/tn/help/gal/06/01)* [Numbers 14:17-19](rc://en/tn/help/num/14/17)* [Psalm 032:01](rc://en/tn/help/psa/032/01)	52004006. 27009024. 27009025. 48003019. 48003020. 48006001. 48006002. 04014017. 04014018. 04014019. None032001. 
201	trespass	trespass	trespass, trespasses, trespassed	अपराध, अपराधों, विश्वासघात किया	['H819', 'H4604', 'H6588', 'G264', 'G3900']	['H816', 'H817', 'H819', 'H2398', 'H4603', 'H4604', 'H6586', 'H6588', 'G264', 'G3900']	* [1 Samuel 25:28](rc://en/tn/help/1sa/25/28)* [2 Chronicles 26:16-18](rc://en/tn/help/2ch/26/16)* [Colossians 02:13](rc://en/tn/help/col/02/13)* [Ephesians 02:01](rc://en/tn/help/eph/02/01)* [Ezekiel 15:7-8](rc://en/tn/help/ezk/15/07)* [Romans 05:17](rc://en/tn/help/rom/05/17)* [Romans 05:20-21](rc://en/tn/help/rom/05/20)	09025028. 14026016. 14026017. 14026018. 51002013. 49002001. 26015007. 26015008. 45005017. 45005020. 45005021. 
202	true	true	true, truth, truths, truly	सच्चा, सच्चाई, सत्य	['H199', 'H530', 'H543', 'H551', 'H571', 'H935', 'H3330', 'H6965', 'H7187', 'H7189', 'G225', 'G226', 'G227', 'G228', 'G230', 'G1103', 'G3303', 'G3483', 'G4103', 'G4137']	['H199', 'H389', 'H403', 'H529', 'H530', 'H543', 'H544', 'H551', 'H571', 'H935', 'H3321', 'H3330', 'H6237', 'H6656', 'H6965', 'H7187', 'H7189', 'G225', 'G226', 'G227', 'G228', 'G230', 'G1103', 'G3303', 'G3483', 'G3689', 'G4103', 'G4137']	* [1 Corinthians 05:6-8](rc://en/tn/help/1co/05/06)* [1 John 01:5-7](rc://en/tn/help/1jn/01/05)* [1 John 02:08](rc://en/tn/help/1jn/02/08)* [3 John 01:08](rc://en/tn/help/3jn/01/08)* [Acts 26:24-26](rc://en/tn/help/act/26/24)* [Colossians 01:06](rc://en/tn/help/col/01/06)* [Genesis 47:29-31](rc://en/tn/help/gen/47/29)* [James 01:18](rc://en/tn/help/jas/01/18)* [James 03:14](rc://en/tn/help/jas/03/14)* [James 05:19](rc://en/tn/help/jas/05/19)* [Jeremiah 04:02](rc://en/tn/help/jer/04/02)* [John 01:9](rc://en/tn/help/jhn/01/9)* [John 01:16-18](rc://en/tn/help/jhn/01/16)* [John 01:51](rc://en/tn/help/jhn/01/51)* [John 03:31-33](rc://en/tn/help/jhn/03/31)* [Joshua 07:19-21](rc://en/tn/help/jos/07/19)* [Lamentations 05:19-22](rc://en/tn/help/lam/05/19)* [Matthew 08:10](rc://en/tn/help/mat/08/10)* [Matthew 12:17](rc://en/tn/help/mat/12/17)* [Psalm 026:1-3](rc://en/tn/help/psa/026/001)* [Revelation 01:19-20](rc://en/tn/help/rev/01/19)* [Revelation 15:3-4](rc://en/tn/help/rev/15/03)	46005006. 46005007. 46005008. 62001005. 62001006. 62001007. 62002008. 64001008. 44026024. 44026025. 44026026. 51001006. 01047029. 01047030. 01047031. 59001018. 59003014. 59005019. 24004002. 43001016. 43001017. 43001018. 43001051. 43003031. 43003032. 43003033. 06007019. 06007020. 06007021. 25005019. 25005020. 25005021. 25005022. 40008010. 40012017. None026001. None026002. None026003. 66001019. 66001020. 66015003. 66015004. 
203	trust	trust	trust, trusts, trusted, trustworthy, trustworthiness	विश्वास, भरोसा, विश्वसनीय, भरोसेमंद, विश्वसनीयता	['H539', 'H982', 'H1556', 'H2620', 'H3176', 'H4009', 'H4268', 'H7365', 'G1679', 'G3982', 'G4100']	['H539', 'H982', 'H1556', 'H2620', 'H2622', 'H3176', 'H4009', 'H4268', 'H7365', 'G1679', 'G3872', 'G3982', 'G4006', 'G4100', 'G4276']	* [1 Chronicles 09:22-24](rc://en/tn/help/1ch/09/22)* [1 Timothy 04:09](rc://en/tn/help/1ti/04/09)* [Hosea 10:12-13](rc://en/tn/help/hos/10/12)* [Isaiah 31:1-2](rc://en/tn/help/isa/31/01)* [Nehemiah 13:13](rc://en/tn/help/neh/13/13)* [Psalm 031:05](rc://en/tn/help/psa/031/05)* [Titus 03:8](rc://en/tn/help/tit/03/08)	13009022. 13009023. 13009024. 54004009. 28010012. 28010013. 23031001. 23031002. 16013013. None031005. 
204		unbeliever		अविश्वासी, अविश्वासियों, अविश्वास		['G543', 'G544', 'G570', 'G571']		
205		uncircumcised		खतनारहित, खतनाहीन		['H6188', 'H6189', 'H6190', 'G203', 'G564']		
206		unclean		अशुद्ध		['H2930', 'H2931', 'H2932', 'H5079', 'H6172', 'H6945', 'H7137', 'G167', 'G169', 'G2839', 'G2840', 'G3394']		
207		unfaithful		विश्वासघाती, विश्वासघात किया		['H898']		
208		ungodly		अभक्त, अधर्मी, अभक्ति, अधर्मी		['H1100', 'H2623', 'H5760', 'H7563', 'G763', 'G764', 'G765']		
209		unholy		अपवित्र		['H2455', 'G462', 'G2839']		
210		unjust		अधर्मी, अन्याय से, अन्याय		['H205', 'H2555', 'H5765', 'H5766', 'H5767', 'H8636', 'G91', 'G93', 'G94']		
211		unlawful		उचित नहीं, अधर्म		['G111', 'G459']		
212	unleavenedbread	unleavenedbread	unleavened bread	अख़मीरी रोटी	['H4682', 'G106']	['H4682', 'G106']	* [1 Corinthians 05:6-8](rc://en/tn/help/1co/05/06)* [2 Chronicles 30:13-15](rc://en/tn/help/2ch/30/13)* [Acts 12:03](rc://en/tn/help/act/12/03)* [Exodus 23:14-15](rc://en/tn/help/exo/23/14)* [Ezra 06:21-22](rc://en/tn/help/ezr/06/21)* [Genesis 19:1-3](rc://en/tn/help/gen/19/01)* [Judges 06:21](rc://en/tn/help/jdg/06/21)* [Leviticus 08:1-3](rc://en/tn/help/lev/08/01)* [Luke 22:01](rc://en/tn/help/luk/22/01)	46005006. 46005007. 46005008. 14030013. 14030014. 14030015. 44012003. 02023014. 02023015. 15006021. 15006022. 01019001. 01019002. 01019003. 07006021. 03008001. 03008002. 03008003. 42022001. 
213		unrighteous		अधर्मी, अधर्म		['H205', 'H2555', 'H5765', 'H5766', 'H5767', 'H6664', 'G93', 'G94', 'G458']		
214		upright		सीधे, सिधाई		['H1368', 'H3474', 'H3476', 'H3477', 'H3483', 'H4334', 'H4339', 'H4749', 'H5228', 'H5229', 'H5324', 'H5977', 'H6968', 'H8535', 'H8537', 'H8549', 'H8552', 'G3716', 'G3717']		
215	vow	vow	vow, vows, vowed	मन्नत, मन्नतें, शपथ खाई	['H5087', 'H5088', 'G2171']	['H5087', 'H5088', 'G2171']	* [1 Corinthians 07:27-28](rc://en/tn/help/1co/07/27)* [Acts 21:23](rc://en/tn/help/act/21/23)* [Genesis 28:21](rc://en/tn/help/gen/28/21)* [Genesis 31:12-13](rc://en/tn/help/gen/31/12)* [Jonah 01:14-16](rc://en/tn/help/jon/01/14)* [Jonah 02:9-10](rc://en/tn/help/jon/02/09)* [Proverbs 07:14](rc://en/tn/help/pro/07/14)	46007027. 46007028. 44021023. 01028021. 01031012. 01031013. 32001014. 32001015. 32001016. 32002009. 32002010. 20007014. 
216	willofgod	willofgod	will of God, his will, he wishes	परमेश्‍वर की इच्छा	['H6310', 'H6634', 'H7522', 'G1012', 'G1013', 'G2307', 'G2308', 'G2309', 'G2596']	['H6310', 'H6634', 'H7522', 'G1012', 'G1013', 'G2307', 'G2308', 'G2309', 'G2596']	* [1 John 02:15-17](rc://en/tn/help/1jn/02/15)* [1 Thessalonians 04:3-6](rc://en/tn/help/1th/04/03)* [Colossians 04:12-14](rc://en/tn/help/col/04/12)* [Ephesians 01:1-2](rc://en/tn/help/eph/01/01)* [John 05:30-32](rc://en/tn/help/jhn/05/30)* [Mark 03:33-35](rc://en/tn/help/mrk/03/33)* [Matthew 06:8-10](rc://en/tn/help/mat/06/08)* [Psalms 103:21](rc://en/tn/help/psa/103/21)	62002015. 62002016. 62002017. 52004003. 52004004. 52004005. 52004006. 51004012. 51004013. 51004014. 49001001. 49001002. 43005030. 43005031. 43005032. 41003033. 41003034. 41003035. 40006008. 40006009. 40006010. 19103021. 
217	wise	wise	wise, wisdom	बुद्धिमान, बुद्धि	['H998', 'H1350', 'H2445', 'H2449', 'H2450', 'H2451', 'H2452', 'H2454', 'H2942', 'H3820', 'H6195', 'H7919', 'H7922', 'H8454', 'G4678', 'G4679', 'G4680', 'G4920', 'G5428', 'G5429']	['H998', 'H1350', 'H2445', 'H2449', 'H2450', 'H2451', 'H2452', 'H2454', 'H2942', 'H3820', 'H3823', 'H6195', 'H6493', 'H6912', 'H7535', 'H7919', 'H7922', 'H8454', 'G4678', 'G4679', 'G4680', 'G4920', 'G5428', 'G5429', 'G5430']	* [Acts 06:03](rc://en/tn/help/act/06/03)* [Colossians 03:15-17](rc://en/tn/help/col/03/15)* [Exodus 31:06](rc://en/tn/help/exo/31/06)* [Genesis 03:06](rc://en/tn/help/gen/03/06)* [Isaiah 19:12](rc://en/tn/help/isa/19/12)* [Jeremiah 18:18](rc://en/tn/help/jer/18/18)* [Matthew 07:24](rc://en/tn/help/mat/07/24)	44006003. 51003015. 51003016. 51003017. 02031006. 01003006. 23019012. 24018018. 40007024. 
218		witness		साक्षी, गवाहों, गवाह, बातों के देखनेवाले		['H5707', 'H5713', 'H5715', 'H5749', 'H6030', 'G267', 'G1263', 'G2649', 'G3140', 'G3141', 'G3142', 'G3144', 'G4828', 'G4901', 'G5575', 'G5576', 'G5577']		
219	woe	woe	woe	हाय	['H188', 'H190', 'H337', 'H480', 'H1929', 'H1945', 'H1958', 'G3759']	['H188', 'H190', 'H337', 'H480', 'H1929', 'H1945', 'H1958', 'G3759']	* [Ezekiel 13:17-18](rc://en/tn/help/ezk/13/17)* [Habakkuk 02:12](rc://en/tn/help/hab/02/12)* [Isaiah 31:1-2](rc://en/tn/help/isa/31/01)* [Jeremiah 45:1-3](rc://en/tn/help/jer/45/01)* [Jude 01:9-11](rc://en/tn/help/jud/01/09)* [Luke 06:24](rc://en/tn/help/luk/06/24)* [Luke 17:1-2](rc://en/tn/help/luk/17/01)* [Matthew 23:23](rc://en/tn/help/mat/23/23)	26013017. 26013018. 35002012. 23031001. 23031002. 24045001. 24045002. 24045003. 65001009. 65001010. 65001011. 42006024. 42017001. 42017002. 40023023. 
220	wordofgod	wordofgod	word of God, words of God, word of Yahweh, word of the Lord, word of truth, scripture, scriptures	परमेश्‍वर के वचन, परमेश्वर के वचनों, यहोवा के वचन, प्रभु का वचन, पवित्रशास्त्र, पवित्रशास्त्र	['H561', 'H565', 'H1697', 'H3068', 'G3056', 'G4487']	['H561', 'H565', 'H1697', 'H3068', 'G3056', 'G4487']	* [Genesis 15:01](rc://en/tn/help/gen/15/01)* [1 Kings 13:01](rc://en/tn/help/1ki/13/01)* [Jeremiah 36:1-3](rc://en/tn/help/jer/36/01)* [Luke 08:11](rc://en/tn/help/luk/08/11)* [John 05:39](rc://en/tn/help/jhn/05/39)* [Acts 06:02](rc://en/tn/help/act/06/02)* [Acts 12:24](rc://en/tn/help/act/12/24)* [Romans 01:02](rc://en/tn/help/rom/01/02)* [2 Corinthians 06:07](rc://en/tn/help/2co/06/07)* [Ephesians 01:13](rc://en/tn/help/eph/01/13)* [2 Timothy 03:16](rc://en/tn/help/2ti/03/16)* [James 01:18](rc://en/tn/help/jas/01/18)* [James 02:8-9](rc://en/tn/help/jas/02/08)	01015001. 11013001. 24036001. 24036002. 24036003. 42008011. 43005039. 44006002. 44012024. 45001002. 47006007. 49001013. 55003016. 59001018. 59002008. 59002009. 
221		wordoftruth		सत्य का वचन		['H561', 'H565', 'H1697', 'H3068', 'G3056', 'G4487']		
222	works	works	works, deeds, work, acts	काम, कर्म, कार्य, कृत्य	['H4566', 'H4567', 'H4611', 'H4659', 'H5949', 'G2041']	['H4566', 'H4567', 'H4611', 'H4659', 'H5949', 'G2041']	* [1 John 03:12](rc://en/tn/help/1jn/03/12)* [Acts 02:8-11](rc://en/tn/help/act/02/08)* [Daniel 04:37](rc://en/tn/help/dan/04/37)* [Exodus 34:10-11](rc://en/tn/help/exo/34/10)* [Galatians 02:15-16](rc://en/tn/help/gal/02/15)* [James 02:17](rc://en/tn/help/jas/02/17)* [Matthew 16:27-28](rc://en/tn/help/mat/16/27)* [Micah 02:07](rc://en/tn/help/mic/02/07)* [Romans 03:28](rc://en/tn/help/rom/03/28)* [Titus 03:4-5](rc://en/tn/help/tit/03/04)	62003012. 44002008. 44002009. 44002010. 44002011. 27004037. 02034010. 02034011. 48002015. 48002016. 59002017. 40016027. 40016028. 33002007. 45003028. 56003004. 56003005. 
223	world	world	world, worldly	संसार, सांसारिक	['H776', 'H2309', 'H2465', 'H5769', 'H8398', 'G1093', 'G2886', 'G2889', 'G3625']	['H776', 'H2309', 'H2465', 'H5769', 'H8398', 'G1093', 'G2886', 'G2889', 'G3625']	* [1 John 02:15](rc://en/tn/help/1jn/02/15)* [1 John 04:05](rc://en/tn/help/1jn/04/05)* [1 John 05:05](rc://en/tn/help/1jn/05/05)* [John 01:29](rc://en/tn/help/jhn/01/29)* [Matthew 13:36-39](rc://en/tn/help/mat/13/36)	62002015. 62004005. 62005005. 43001029. 40013036. 40013037. 40013038. 40013039. 
224	worship	worship	worship, worshiping	उपासना	['H5457', 'H5647', 'H7812', 'G1391', 'G2151', 'G2323', 'G2356', 'G3000', 'G3008', 'G4352', 'G4353', 'G4573', 'G4574', 'G4576']	['H5457', 'H5647', 'H6087', 'H7812', 'G1391', 'G1479', 'G2151', 'G2318', 'G2323', 'G2356', 'G3000', 'G3511', 'G4352', 'G4353', 'G4573', 'G4574', 'G4576']	* [Colossians 02:18-19](rc://en/tn/help/col/02/18)* [Deuteronomy 29:18](rc://en/tn/help/deu/29/18)* [Exodus 03:11-12](rc://en/tn/help/exo/03/11)* [Luke 04:07](rc://en/tn/help/luk/04/07)* [Matthew 02:02](rc://en/tn/help/mat/02/02)* [Matthew 02:08](rc://en/tn/help/mat/02/08)	51002018. 51002019. 05029018. 02003011. 02003012. 42004007. 40002002. 40002008. 
225	worthy	worthy	worthy, worth, unworthy, worthless, value, valuation, full price	योग्य, मूल्यवान, अयोग्य, निकम्मा	['H1100', 'H3644', 'H4242', 'H4373', 'H4392', 'H4592', 'H4941', 'H6994', 'H7386', 'H7939', 'H8602', 'G96', 'G514', 'G515', 'G516', 'G888', 'G2425', 'G2661']	['H117', 'H639', 'H1929', 'H3644', 'H4242', 'H4373', 'H4392', 'H4592', 'H4941', 'H6994', 'H7939', 'G514', 'G515', 'G516', 'G2425', 'G2661', 'G2735']	* [2 Samuel 22:04](rc://en/tn/help/2sa/22/04)* [2 Thessalonians 01:11-12](rc://en/tn/help/2th/01/11)* [Acts 13:25](rc://en/tn/help/act/13/25)* [Acts 25:25-27](rc://en/tn/help/act/25/25)* [Acts 26:31](rc://en/tn/help/act/26/31)* [Colossians 01:9-10](rc://en/tn/help/col/01/09)* [Jeremiah 08:19](rc://en/tn/help/jer/08/19)* [Mark 01:07](rc://en/tn/help/mrk/01/07)* [Matthew 03:10-12](rc://en/tn/help/mat/03/10)* [Philippians 01:25-27](rc://en/tn/help/php/01/25)	10022004. 53001011. 53001012. 44013025. 44025025. 44025026. 44025027. 44026031. 51001009. 51001010. 24008019. 41001007. 40003010. 40003011. 40003012. 50001025. 50001026. 50001027. 
226	wrath	wrath	wrath, fury	क्रोध, रोष	['H639', 'H2197', 'H2534', 'H2740', 'H3707', 'H5678', 'H7107', 'H7109', 'H7110', 'H7267', 'G2372', 'G3709']	['H639', 'H2197', 'H2528', 'H2534', 'H2740', 'H3707', 'H3708', 'H5678', 'H7107', 'H7109', 'H7110', 'H7265', 'H7267', 'G2372', 'G3709', 'G3949', 'G3950']	* [1 Thessalonians 01:8-10](rc://en/tn/help/1th/01/08)* [1 Timothy 02:8-10](rc://en/tn/help/1ti/02/08)* [Luke 03:7](rc://en/tn/help/luk/03/7)* [Luke 21:23](rc://en/tn/help/luk/21/23)* [Matthew 03:07](rc://en/tn/help/mat/03/07)* [Revelation 14:10](rc://en/tn/help/rev/14/10)* [Romans 01:18](rc://en/tn/help/rom/01/18)* [Romans 05:09](rc://en/tn/help/rom/05/09)	52001008. 52001009. 52001010. 54002008. 54002009. 54002010. 42021023. 40003007. 66014010. 45001018. 45005009. 
227	yahweh	yahweh	Yahweh	यहोवा	['H3050', 'H3068', 'H3069']	['H3050', 'H3068', 'H3069']	* [1 Kings 21:20](rc://en/tn/help/1ki/21/20)* [1 Samuel 16:07](rc://en/tn/help/1sa/16/07)* [Daniel 09:03](rc://en/tn/help/dan/09/03)* [Ezekiel 17:24](rc://en/tn/help/ezk/17/24)* [Genesis 02:04](rc://en/tn/help/gen/02/04)* [Genesis 04:3-5](rc://en/tn/help/gen/04/03)* [Genesis 28:13](rc://en/tn/help/gen/28/13)* [Hosea 11:12](rc://en/tn/help/hos/11/12)* [Isaiah 10:04](rc://en/tn/help/isa/10/04)* [Isaiah 38:08](rc://en/tn/help/isa/38/08)* [Job 12:10](rc://en/tn/help/job/12/10)* [Joshua 01:09](rc://en/tn/help/jos/01/09)* [Lamentations 01:05](rc://en/tn/help/lam/01/05)* [Leviticus 25:35](rc://en/tn/help/lev/25/35)* [Malachi 03:04](rc://en/tn/help/mal/03/04)* [Micah 02:05](rc://en/tn/help/mic/02/05)* [Micah 06:05](rc://en/tn/help/mic/06/05)* [Numbers 08:11](rc://en/tn/help/num/08/11)* [Psalm 124:03](rc://en/tn/help/psa/124/03)* [Ruth 01:21](rc://en/tn/help/rut/01/21)* [Zechariah 14:5](rc://en/tn/help/zec/14/5)	11021020. 09016007. 27009003. 26017024. 01002004. 01004003. 01004004. 01004005. 01028013. 28011012. 23010004. 23038008. 18012010. 06001009. 25001005. 03025035. 39003004. 33002005. 33006005. 04008011. None124003. 08001021. 
228	yahwehofhosts	yahwehofhosts	Yahweh of hosts, God of hosts, host of heaven, host of the heavens, Lord of hosts	सेनाओं के यहोवा, सेनाओं के परमेश्‍वर, आकाश के गण, आकाश का सारा तारागण, सेनाओं का प्रभु	['H430', 'H3068', 'H6635', 'G2962', 'G4519']	['H430', 'H3068', 'H6635']	* [Zechariah 13:02](rc://en/tn/help/zec/13/02)	38013002
229	zealous	zealous	zeal, zealous	धुन, उत्तेजित	['H7065', 'H7068', 'G2205', 'G2206', 'G2207']	['H7065', 'H7068', 'G2205', 'G2206', 'G2207', 'G6041']	* [1 Corinthians 12:31](rc://en/tn/help/1co/12/31)* [1 Kings 19:9-10](rc://en/tn/help/1ki/19/09)* [Acts 22:03](rc://en/tn/help/act/22/03)* [Galatians 04:17](rc://en/tn/help/gal/04/17)* [Isaiah 63:15](rc://en/tn/help/isa/63/15)* [John 02:17-19](rc://en/tn/help/jhn/02/17)* [Philippians 03:06](rc://en/tn/help/php/03/06)* [Romans 10:1-3](rc://en/tn/help/rom/10/01)	46012031. 11019009. 11019010. 44022003. 48004017. 23063015. 43002017. 43002018. 43002019. 50003006. 45010001. 45010002. 45010003. 
230	zion	zion	Zion, Mount Zion	सिय्योन, सिय्योन पर्वत	['H6726', 'G4622']	['H6726']	* [1 Chronicles 11:05](rc://en/tn/help/1ch/11/05)* [Amos 01:02](rc://en/tn/help/amo/01/02)* [Jeremiah 51:35](rc://en/tn/help/jer/51/35)* [Psalm 076:1-3](rc://en/tn/help/psa/076/001)* [Romans 11:26](rc://en/tn/help/rom/11/26)	13011005. 30001002. 24051035. None076001. None076002. None076003. 45011026. 
231	aaron	aaron	Aaron	हारून	['H175', 'G2']	['H175', 'G2']	* [1 Chronicles 23:14](rc://en/tn/help/1ch/23/14)* [Acts 07:38-40](rc://en/tn/help/act/07/38)* [Exodus 28:1-3](rc://en/tn/help/exo/28/01)* [Luke 01:05](rc://en/tn/help/luk/01/05)* [Numbers 16:45](rc://en/tn/help/num/16/45)	13023014. 44007038. 44007039. 44007040. 02028001. 02028002. 02028003. 42001005. 04016045. 
232	abel	abel	Abel	हाबिल	['H1893', 'G6']	['H01893', 'G6']	* [Genesis 04:02](rc://en/tn/help/gen/04/02)* [Genesis 04:09](rc://en/tn/help/gen/04/09)* [Hebrews 12:24](rc://en/tn/help/heb/12/24)* [Luke 11:49-51](rc://en/tn/help/luk/11/49)* [Matthew 23:35](rc://en/tn/help/mat/23/35)	01004002. 01004009. 58012024. 42011049. 42011050. 42011051. 40023035. 
233	abiathar	abiathar	Abiathar	एब्यातार	['H54', 'G8']	['H54', 'G8']	* [1 Chronicles 27:32-34](rc://en/tn/help/1ch/27/32)* [1 Kings 01:07](rc://en/tn/help/1ki/01/07)* [1 Kings 02:22-23](rc://en/tn/help/1ki/02/22)* [2 Samuel 17:15](rc://en/tn/help/2sa/17/15)* [Mark 02:25-26](rc://en/tn/help/mrk/02/25)	13027032. 13027033. 13027034. 11001007. 11002022. 11002023. 10017015. 41002025. 41002026. 
234	abijah	abijah	Abijah	अबिय्याह	['H29', 'G7']	['H29', 'G7']	* [1 Kings 15:03](rc://en/tn/help/1ki/15/03)* [1 Samuel 08:1-3](rc://en/tn/help/1sa/08/01)* [2 Chronicles 13:02](rc://en/tn/help/2ch/13/02)* [2 Chronicles 13:19](rc://en/tn/help/2ch/13/19)* [Luke 01:05](rc://en/tn/help/luk/01/05)	11015003. 09008001. 09008002. 09008003. 14013002. 14013019. 42001005. 
235	abimelech	abimelech	Abimelech	अबीमेलेक	['H40']	['H40']	* [2 Samuel 11:21](rc://en/tn/help/2sa/11/21)* [Genesis 20:03](rc://en/tn/help/gen/20/03)* [Genesis 20:05](rc://en/tn/help/gen/20/05)* [Genesis 21:22](rc://en/tn/help/gen/21/22)* [Genesis 26:11](rc://en/tn/help/gen/26/11)* [Judges 09:54](rc://en/tn/help/jdg/09/54)	10011021. 01020003. 01020005. 01021022. 01026011. 07009054. 
236	abner	abner	Abner	अब्नेर	['H74']	['H74']	* [1 Chronicles 26:26-28](rc://en/tn/help/1ch/26/26)* [1 Kings 02:5-6](rc://en/tn/help/1ki/02/05)* [1 Kings 02:32](rc://en/tn/help/1ki/02/32)* [1 Samuel 17:55-56](rc://en/tn/help/1sa/17/55)* [2 Samuel 03:22](rc://en/tn/help/2sa/03/22)	13026026. 13026027. 13026028. 11002005. 11002006. 11002032. 09017055. 09017056. 10003022. 
237	abraham	abraham	Abraham, Abram	अब्राहम, अब्राम	['H87', 'H85', 'G11']	['H87', 'H85', 'G11']	* [Galatians 03:08](rc://en/tn/help/gal/03/08)* [Genesis 11:29-30](rc://en/tn/help/gen/11/29)* [Genesis 21:04](rc://en/tn/help/gen/21/04)* [Genesis 22:02](rc://en/tn/help/gen/22/02)* [James 02:23](rc://en/tn/help/jas/02/23)* [Matthew 01:02](rc://en/tn/help/mat/01/02)	48003008. 01011029. 01011030. 01021004. 01022002. 59002023. 40001002. 
238	absalom	absalom	Absalom	अबशालोम	['H53']	['H53']	* [1 Chronicles 03:1-3](rc://en/tn/help/1ch/03/01)* [1 Kings 01:06](rc://en/tn/help/1ki/01/06)* [2 Samuel 15:02](rc://en/tn/help/2sa/15/02)* [2 Samuel 17:1-4](rc://en/tn/help/2sa/17/01)* [2 Samuel 18:18](rc://en/tn/help/2sa/18/18)* [Psalm 003:1-2](rc://en/tn/help/psa/003/001)	13003001. 13003002. 13003003. 11001006. 10015002. 10017001. 10017002. 10017003. 10017004. 10018018. None003001. None003002. 
239	adam	adam	Adam	आदम	['H120', 'G76']	['H120', 'G76']	* [1 Timothy 02:14](rc://en/tn/help/1ti/02/14)* [Genesis 03:17](rc://en/tn/help/gen/03/17)* [Genesis 05:01](rc://en/tn/help/gen/05/01)* [Genesis 11:05](rc://en/tn/help/gen/11/05)* [Luke 03:38](rc://en/tn/help/luk/03/38)* [Romans 05:15](rc://en/tn/help/rom/05/15)	54002014. 01003017. 01005001. 01011005. 42003038. 45005015. 
240	adonijah	adonijah	Adonijah	अदोनिय्याह	['H138']	['G138']		
241	ahab	ahab	Ahab	आहाब	['H256']	['H256']	* [1 Kings 18:1-2](rc://en/tn/help/1ki/18/01)* [1 Kings 20:1-3](rc://en/tn/help/1ki/20/01)* [2 Chronicles 21:06](rc://en/tn/help/2ch/21/06)* [2 Kings 09:08](rc://en/tn/help/2ki/09/08)	11018001. 11018002. 11020001. 11020002. 11020003. 14021006. 12009008. 
242	ahasuerus	ahasuerus	Ahasuerus	क्षयर्ष	['H325']	['H325']	* [Daniel 09:01](rc://en/tn/help/dan/09/01)* [Esther 10:1-2](rc://en/tn/help/est/10/01)* [Ezra 04:7-8](rc://en/tn/help/ezr/04/07)	27009001. 17010001. 17010002. 15004007. 15004008. 
243	ahaz	ahaz	Ahaz	अहाज	['H271']	['H271']	* [1 Chronicles 08:35-37](rc://en/tn/help/1ch/08/35)* [2 Chronicles 28:01](rc://en/tn/help/2ch/28/01)* [2 Kings 16:20](rc://en/tn/help/2ki/16/20)* [Hosea 01:01](rc://en/tn/help/hos/01/01)* [Isaiah 01:1](rc://en/tn/help/isa/01/1)* [Isaiah 07:04](rc://en/tn/help/isa/07/04)* [Matthew 01:9-11](rc://en/tn/help/mat/01/09)	13008035. 13008036. 13008037. 14028001. 12016020. 28001001. 23007004. 40001009. 40001010. 40001011. 
244	ahaziah	ahaziah	Ahaziah	अहज्याह	['H274']	['H274']	* [1 Kings 22:39-40](rc://en/tn/help/1ki/22/39)* [2 Chronicles 22:02](rc://en/tn/help/2ch/22/02)* [2 Chronicles 25:23-24](rc://en/tn/help/2ch/25/23)* [2 Kings 11:02](rc://en/tn/help/2ki/11/02)	11022039. 11022040. 14022002. 14025023. 14025024. 12011002. 
245	ahijah	ahijah	Ahijah	अहिय्याह	['H281']	['H281']	* [1 Kings 15:27-28](rc://en/tn/help/1ki/15/27)* [1 Kings 21:21-22](rc://en/tn/help/1ki/21/21)* [1 Samuel 14:19](rc://en/tn/help/1sa/14/19)* [2 Chronicles 10:15](rc://en/tn/help/2ch/10/15)	11015027. 11015028. 11021021. 11021022. 09014019. 14010015. 
